Key,Title,Link,Time,Category,Content
NBC_1,"Barcelona will raise tourist tax for cruise passengers, mayor says",https://www.nbcnews.com/news/world/barcelona-raise-tourist-tax-cruise-ship-rcna162884,2024-07-21 18:00:03.096401,,"MADRID — Barcelona will raise the tourist tax for cruise passengers visiting the city for less than 12 hours, the mayor said in an interview published on Sunday.
Jaume Collboni said the current tourist tax for stopover cruise passengers was 7 euros ($7.61) per day. He did not say by how much the tax would be increased.
“We are going to propose..substantially increasing the tax for stopover cruise passengers,” he told El Pais newspaper.
“In the case of stopover cruise passengers (less than 12 hours) there is intensive use of public space without any benefit for the city and a feeling of occupation and saturation. We want to have tourism that is respectful of the destination.”
He said tourists, not local tax payers, should pay for local projects like air-conditioning schools.
The proposal will have to be agreed with the Catalan regional government, Collboni said.
In recent weeks, anti-tourism activists have staged protests in popular holiday destinations across Spain, such as Palma de Mallorca, Malaga and the Canary Islands, saying visitors drive up housing costs and lead to residents being unable to afford to live in city centres.
Another protest is planned in Palma de Mallorca, the capital of the largest Balearic Island on Sunday evening.
Collboni announced last month that the city will bar apartment rentals to tourists by 2028, an unexpectedly drastic move as it seeks to rein in soaring housing costs and make the city liveable for residents.Reuters"
NBC_2,Election 2024 live updates: Trump holds first rally since his shooting; Democrats grapple with Biden woes,https://www.nbcnews.com/politics/2024-election/live-blog/trump-biden-president-election-live-updates-rcna162646,2024-07-21 21:02:24.136869,,"Megan Lebowitz
Vaughn Hillyard
One week after a bullet nearly took his life, former President Donald Trump delivered a speech filled with divisive rhetoric that was largely in line with his usual tone.
Despite Trump having told reporters that he would pivot to a message of unity, the former president used his Saturday speech in Grand Rapids, Michigan, to call President Joe Biden and Vice President Kamala Harris names, refer to Biden’s allies as “thugs,” argue without evidence that Democrats cheated in the 2020 election, and characterize migrants as coming from prisons, jails and mental institutions.
Read the full story here.
Mike Memoli
Kelly O'Donnell
As President Joe Biden faces a wave of new calls from elected officials to end his re-election bid, his political allies are actively exploring ways to publicly demonstrate he still has widespread support among key elements of the Democratic Party’s base, according to three Democrats familiar with the discussions.
The new effort is aimed at turning the pressure campaign against Biden back on party insiders by seizing on anger and frustration among some voters who feel disenfranchised by attempts to push the candidate they cast their ballots for aside, the Democrats said.
Read the full story here.Megan Lebowitz
Vaughn Hillyard
One week after a bullet nearly took his life, former President Donald Trump delivered a speech filled with divisive rhetoric that was largely in line with his usual tone.
Despite Trump having told reporters that he would pivot to a message of unity, the former president used his Saturday speech in Grand Rapids, Michigan, to call President Joe Biden and Vice President Kamala Harris names, refer to Biden’s allies as “thugs,” argue without evidence that Democrats cheated in the 2020 election, and characterize migrants as coming from prisons, jails and mental institutions.
Read the full story here.Mike Memoli
Kelly O'Donnell
As President Joe Biden faces a wave of new calls from elected officials to end his re-election bid, his political allies are actively exploring ways to publicly demonstrate he still has widespread support among key elements of the Democratic Party’s base, according to three Democrats familiar with the discussions.
The new effort is aimed at turning the pressure campaign against Biden back on party insiders by seizing on anger and frustration among some voters who feel disenfranchised by attempts to push the candidate they cast their ballots for aside, the Democrats said.
Read the full story here."
NBC_3,Heat-related Texas deaths climb after Beryl left millions without power for days or longer,https://www.nbcnews.com/news/us-news/heat-related-texas-deaths-climb-beryl-left-millions-power-days-longer-rcna162894,2024-07-21 22:00:03.004291,,"SPRING, Texas — As the temperature soared in the Houston-area home Janet Jarrett shared with her sister after losing electricity in Hurricane Beryl, she did everything she could to keep her 64-year-old sibling cool.
But on their fourth day without power, she awoke to hear Pamela Jarrett, who used a wheelchair and relied on a feeding tube, gasping for breath. Paramedics were called but she was pronounced dead at the hospital, with the medical examiner saying her death was caused by the heat.
“It’s so hard to know that she’s gone right now because this wasn’t supposed to happen to her,” Janet Jarrett said.
Almost two weeks after Beryl hit, heat-related deaths during the prolonged power outages have pushed the number of storm-related fatalities to at least 23 in Texas.
The combination of searing summer heat and residents unable to power up air conditioning in the days after the Category 1 storm made landfall on July 8 resulted in increasingly dangerous conditions for some in America’s fourth-largest city.
Beryl knocked out electricity to nearly 3 million homes and businesses at the height of the outages, which lasted days or much longer, and hospitals reported a spike in heat-related illnesses.
Power finally was restored to most by last week, after over a week of widespread outages. The slow pace in the Houston area put the region’s electric provider, CenterPoint Energy, under mounting scrutiny over whether it was sufficiently prepared.
While it may be weeks or even years before the full human toll of the storm in Texas is known, understanding that number helps plan for the future, experts say.
Just after the storm hit, bringing high winds and flooding, the deaths included people killed by falling trees and people who drowned when their vehicles became submerged in floodwaters. In the days after the storm passed, deaths included people who fell while cutting limbs on damaged trees and heat-related deaths.
Half of the deaths attributed to the storm in Harris County, where Houston is located, were heat related, according to the Harris County Institute of Forensic Sciences.
Jarrett, who has cared for her sister since she was injured in an attack six years ago, said her “sassy” sister had done everything from owning a vintage shop in Harlem, New York, to working as an artist.
“She had a big personality,” Jarrett said, adding that her sister had been in good health before they lost electricity at their Spring home.
With power outages and cleanup efforts still ongoing, the death toll likely will continue to climb.
Officials are still working to determine if some deaths that have already occurred should be considered storm related. But even when those numbers come in, getting a clear picture of the storm’s toll could take much more time.
Lara Anton, a spokesperson for the Texas Department of State Health Services, which uses death certificate data to identify storm-related deaths, estimated that it may not be until the end of July before they have even a preliminary count.
In the state’s vital statistics system, there is a prompt to indicate if the death was storm related and medical certifiers are asked to send additional information on how the death was related to the storm, Anton said.
Experts say that while a count of storm-related fatalities compiled from death certificates is useful, an analysis of excess deaths that occurred during and after the storm can give a more complete picture of the toll. For that, researchers compare the number of people who died in that period to how many would have been expected to die under normal conditions.
The excess death analysis helps count deaths that might have been overlooked, said Dr. Lynn Goldman, dean of the Milken Institute School of Public Health at George Washington University.
Both the approach of counting the death certificates and calculating the excess deaths have their own benefits when it comes to storms, said Gregory Wellenius, director of the Boston University School of Public Health’s Center for Climate and Health.
The excess death analysis gives a better estimate of the total number of people killed, so it’s useful for public health and emergency management planning in addition to assessing the impact of climate change, he said.
But it “doesn’t tell you who,” he said, and understanding the individual circumstances of storm deaths is important in helping to show what puts individual people at risk.
“If I just tell you 200 people died, it doesn’t tell you that story of what went wrong for these people, which teaches us something about what hopefully can we do better to prepare or help people prepare in the future,” Wellenius said. The Associated Press"
NBC_4,Secret Service denied requests for more security at Trump events before attempted assassination,https://www.nbcnews.com/politics/donald-trump/secret-service-denied-requests-security-resources-trump-events-rcna162888,2024-07-21 22:00:03.004291,,"The Secret Service repeatedly denied requests for more personnel and other security resources from agents guarding former President Donald Trump prior to the assassination attempt on the candidate at a July 13 rally in Butler, Pennsylvania, a Secret Service official told NBC News.
The earlier requests for additional resources, which stretched over two years, could not be fully accommodated because the Secret Service lacked the resources to fulfill them, the official said.
“The Secret Service has a vast, dynamic, and intricate mission. Every day we work in a dynamic threat environment to ensure our protectees are safe and secure across multiple events, travel, and other challenging environments,” said Anthony Guglielmi, a spokesperson for the Secret Service. “We execute a comprehensive and layered strategy to balance personnel, technology, and specialized operational needs.”
“In some instances where specific Secret Service specialized units or resources were not provided, the agency made modifications to ensure the security of the protectee,” he added. “This may include utilizing state or local partners to provide specialized functions or otherwise identifying alternatives to reduce public exposure of a protectee.”
The day after Trump was wounded by a 20-year-old gunman, Guglielmi said claims that resource requests from Trump’s Secret Service detail had been denied were “absolutely false.”
The Washington Post was first to report that the Secret Service had repeatedly denied requests for additional security at Trump events for two years prior to his attempted assassination.
The Post reported that Secret Service agents assigned to Trump had requested magnetometers and additional agents to assist with security screenings of attendees at large public gatherings Trump attended, as well as more snipers and specialty teams at other outdoor events.
The revelation that the Secret Service repeatedly turned down additional resources requested from agents guarding Trump comes as the agency experiences a decadelong staffing shortfall, as previously reported by NBC News.
Despite a near doubling of the Secret Service’s budget in recent years, the personnel shortage has continued. The number of senior officials requiring security has also increased as the potential threats against them have diversified.
The Secret Service and federal and local law enforcement agencies have struggled with recruitment in the wake of the police murder of George Floyd. Lengthy Secret Service background checks, which can take up to a year, have also delayed hiring.
The agency has also struggled to retain experienced agents due to the high pressure and grueling nature of the work, as well as the lure of higher salaries in the private sector.Julia Ainsley is the homeland security correspondent for NBC News and covers the Department of Homeland Security for the NBC News Investigative Unit.
Summer Concepcion is a politics reporter for NBC News."
NBC_5,Sen. Joe Manchin joins calls for Biden to drop out of the 2024 race,https://www.nbcnews.com/politics/2024-election/sen-joe-manchin-biden-drop-out-presidential-race-rcna162892,2024-07-21 22:00:03.004291,,"Sen. Joe Manchin, I-W.Va., on Sunday joined growing calls for President Joe Biden to drop out of the presidential race.
Manchin, who left the Democratic Party in May but continues to caucus with Democrats, said that during the first week after the president’s poor June debate performance, he initially thought Biden “needed time to evaluate and make a decision if he was going to at that time.”
“And then I thought, well, we’d hear from my colleagues who are in very difficult, challenging areas of the country, whether it be in Congress, as far as their districts, or in the states, as far as my senators, and they’re speaking out now,” he said in an interview on ABC News’ “This Week.” “And then when you see the donor class, basically, speaking up and saying that they went a different direction, if you will.”
Manchin said he believes that if Biden exits the race now, it would allow him to address a series of key issues, and his departure would give him the chance to “show the rest of the world the orderly transfer of power from the superpower of the world.”
“He will go down with a legacy unlike many people, as one of the finest and truly a [patriotic] American,” Manchin said. “So, with that, I come with a heavy heart to think the time has come for him to pass the torch to a new generation.”
Manchin called for an open process to replace Biden on the Democratic presidential ticket and suggested Pennsylvania Gov. Josh Shapiro and Kentucky Gov. Andy Beshear as potential nominees.
“It’s time, it’s just time,” Manchin said.
Manchin, who had decided against launching a presidential bid against Biden, blamed “both sides” for escalating rhetoric that led to the attempted assassination of former President Donald Trump at a July 13 rally in Butler, Pennsylvania.
“This should be a wake-up call for all of us,” Manchin said. “I am angry, as I know others are, that we are in this position. We must acknowledge that both sides share responsibility for where we are and where we go from here.”
Manchin, however, acknowledged Biden’s “irreparable” debate performance and criticized Democrats voicing their support for the president after the debate.
“At a time when the Democratic Party must realize they risk losing the Senate and even the House, in addition to losing the presidency, they are doing nothing to broaden the tent and appeal to more Americans,” Manchin said. “Instead, they continue to pull the party to the left. Sadly, their vocal support for President Biden in the face of his irreparable debate performance are just evidence of how much control the far left has over the current administration.”
Manchin joins four Democratic senators who have called for Biden to exit the race.
Sen. Peter Welch, D-Vt., was the first Democratic senator to call for Biden to end his re-election bid. Welch, a fixture in Vermont politics, argued that Biden should exit the race “for the good of the country” in an opinion piece published in The Washington Post this month.
Sen. Jon Tester, D-Mont., who is running for re-election in one of the most vulnerable Senate seats for Democrats, also called on Biden to depart the race. Tester said in a statement that while he appreciates Biden’s “commitment to public service and our country,” Biden shouldn’t seek re-election. He said that he has worked with Biden “when it has made Montana stronger, and I’ve never been afraid to stand up to him when he is wrong.”
Sens. Martin Heinrich of New Mexico and Sherrod Brown of Ohio have also pushed for Biden to exit the race. More than 30 congressional Democrats thus far have said they want a nominee to replace Biden on the Democratic presidential ticket.
However, members of the Congressional Black Caucus and BOLD PAC, the political arm of the Congressional Hispanic Caucus, have continued to voice their support for Biden’s re-election campaign.
The president and his campaign have maintained that he has no intention to drop out of the race. In a statement Sunday, Mia Ehrenberg, a spokesperson for the Biden campaign, said the campaign believes that Democrats will “absolutely come together” to fight against Trump in November.
“While the majority of the Democratic caucus and the diverse base of the party continues to stand with the President and his historic record of delivering for their communities, we’re clear-eyed that the urgency and stakes of beating Donald Trump means others feel differently,” Ehrenberg said in a statement. “We all share the same goal: an America where everyone gets a fair shot and freedom and democracy are protected. Unlike Republicans, we’re a party that accepts — and even celebrates — differing opinions, but in the end, we will absolutely come together to beat Donald Trump this November.”
Jen O’Malley Dillon, Biden’s campaign chair, on Friday also maintained that the president isn’t going anywhere.
“You have heard from the president directly time and again: He is in this race to win, and he is our nominee, and he’s going to be our President for a second term,” O’Malley Dillon said during an interview on MSNBC’s “Morning Joe.”Summer Concepcion is a politics reporter for NBC News."
NBC_6,3 killed and 6 injured in shooting at Philadelphia party,https://www.nbcnews.com/news/3-killed-6-injured-shooting-philadelphia-party-rcna162896,2024-07-21 23:00:02.671514,,"Three people were killed and six others were injured at a shooting in west Philadelphia early Sunday morning, according to police.
Officers with the Philadelphia Police Department responded to 1200 N. Alden Street following a report of a shooting around 2 a.m., per a news release. A party with over 100 people in attendance was underway when gunshots rang out, NBC Philadelphia reported.
“Upon arrival, officers located multiple victims suffering from gunshot wounds. Preliminary information indicates an exchange of gunfire between multiple parties resulting in a nonuple shooting and triple homicide,” the department said, referring to a total of nine victims, three of which died due to their injuries.
It is not clear at this time what occurred ahead of the shooting.
All of the deceased victims were men, according to the news release, including a 33-year-old who was pronounced dead on the scene. A 23-year-old who was shot in the chest, leg and stomach was taken to a medical center, where he died.
A 29-year-old shot once in the abdomen also died at a medical center.
The other victims include five men and one woman, all ranging in age from 26 to 30, according to police. All of them are currently in stable condition.
One weapon has been recovered from the scene, but no suspects are in custody at this time, police said.
The investigation into the shooting continues.Breaking news reporter"
NBC_7,President Joe Biden drops out of 2024 presidential race,https://www.nbcnews.com/politics/2024-election/president-joe-biden-drops-2024-presidential-race-rcna159867,2024-07-22 02:21:02.831781,,"WASHINGTON — President Joe Biden announced Sunday that he will end his presidential re-election campaign, bringing an abrupt and humbling conclusion to his half-century-long political career and scrambling the race for the White House just four months before Election Day.
Biden, 81, could not reverse growing sentiment within his party that he was too frail to serve and destined to lose to Donald Trump in November. He backed Vice President Kamala Harris to replace him as the Democratic nominee.
Follow live updates on Biden's presidential election withdrawal
“While it has been my intention to seek reelection, I believe it is in the best interest of my party and the country for me to stand down and to focus solely on fulfilling my duties as President for the remainder of my term,” Biden wrote in a letter posted on X. “I will speak to the Nation later this week in more detail about my decision.”
Biden thanked Harris for “being an extraordinary partner” in his letter and then endorsed her in a subsequent post.
""My very first decision as the party nominee in 2020 was to pick Kamala Harris as my Vice President,"" Biden posted. ""And it’s been the best decision I’ve made. Today I want to offer my full support and endorsement for Kamala to be the nominee of our party this year.""
Biden and Harris spoke today ahead of the president’s announcement, according to a source familiar with the campaign.
His withdrawal caps a singular national political career, bookended by Richard Nixon’s fall and Trump’s rise. He mounted four presidential bids. He spent 36 years in the U.S. Senate representing tiny Delaware. He rose to the chairmanships of the powerful Judiciary and Foreign Relations committees. And he served eight years as Barack Obama’s vice president.
Reactions from politicians quickly began pouring in.
California Gov. Gavin Newsom wrote in a post on X that Biden “has been an extraordinary, history-making president — a leader who has fought hard for working people and delivered astonishing results for all Americans.”
“He will go down in history as one of the most impactful and selfless presidents,” said Newsom, who was one of the most prominent Biden surrogates. Newsom has also been floated as a possible Democratic presidential contender.
Michigan Gov. Gretchen Whitmer, another prominent Democrat talked about as a future national candidate, called Biden a “great public servant” in a post to X.
“My job in this election will remain the same: doing everything I can to elect Democrats and stop Donald Trump, a convicted felon whose agenda of raising families’ costs, banning abortion nationwide, and abusing the power of the White House to settle his own scores is completely wrong for Michigan,” Whitmer wrote.
The president's granddaughter Naomi Biden said in a post that she was “nothing but proud today of my Pop,” adding that he has “served our country with every bit of his soul and with unmatched distinction.” First lady Jill Biden posted her husband’s statement to X with a heart emoji. 
Across the aisle, Republicans slammed the move and many called on him to resign his office, days after the completion of a Republican National Convention where speaker after speaker slammed the Biden-Harris ticket.
""If Joe Biden is not fit to run for president, he is not fit to serve as President. He must resign the office immediately,” said House Speaker Mike Johnson. 
In a brief phone interview with NBC News, Trump reacted to Biden's decision, calling the president ""the worst president in the history of the United States by far.""
When asked whether he was surprised by Biden's decision, Trump said that Biden ""should never have been there in the first place.""
“He should have stayed in his basement,"" Trump said.
In a fundraising email, Trump’s campaign said that Biden “quit the race in complete disgrace.”
Biden’s decision to exit the race less than a month before his party’s convention and a few months before voters head to the polls is unprecedented in the modern political era. The last sitting president to abandon a re-election bid was Lyndon Johnson, whose expansion of the Vietnam War in the 1960s split the Democratic Party. But Johnson’s announcement came in March 1968 — eight months before that election.
“We’re in uncharted waters,” said Barbara Perry, a presidential studies professor at the University of Virginia’s Miller Center. “No president has dropped out or died this close to the convention.”
Replacing Biden atop the Democratic ticket is likely to set off internal Democratic tremors as ambitious officials maneuver to become his successor. Factions have already formed around Harris, Whitmer and Newsom.
Harris would seem to be the heir apparent. She broke a barrier as the first female vice president. A woman of color, she enjoys strong support among African Americans, a loyal piece of the Democratic coalition. Overall, though, Harris’ approval rating stood at only 32% in an NBC News poll released earlier this month. 
“There’s no one you can name right now who is an obvious substitute,” Perry said. “That’s what makes this so uncertain and chaotic.”
The mechanics of putting a new name on ballots also gives rise to myriad legal questions. Republicans could work to throw obstacles in the nominee’s path by mounting legal challenges aimed at keeping that person off the ballot.
Questions about Biden’s capacities dogged him throughout his presidency, but peaked following his debate with Trump on June 27. Combined with his flagging poll numbers, his listless performance sparked a panic among his own party that he couldn’t win in November. 
With 51 million people watching, Biden spoke in a raspy voice and often failed to complete thoughts or deliver a cogent explanation of why voters should choose him over Trump. He later attributed his poor performance to exhaustion and a cold. He implored the country not to let one bad night overshadow his accomplishments in office.
Unpersuaded, Democratic lawmakers began calling on him to step aside, a rebellion that started slowly but grew steadily in size and intensity. Thirty-seven congressional Democrats, including independent Sen. Joe Manchin, who previously was in the Democratic Party, had called on Biden to drop out of the 2024 election before he delivered his decision Sunday afternoon.
They appealed to Biden’s patriotism, arguing that if he sincerely believed Trump is a threat to democracy, he needed to put his country first and stand down.
Biden fought back. He held numerous calls and meetings with Democratic officials at all levels to shore up support inside the party — to no avail.
Looking to blunt concerns about his acuity, he gave interviews and held press conferences to prove to voters that he could still think on his feet. But the gaffes kept coming and his poll numbers remained stagnant.
In another bit of bad fortune and timing, Biden tested positive for Covid-19 on July 17, forcing him off the campaign trail.
For Democrats, Biden’s illness created an unwanted contrast. While Trump delivered a triumphal speech accepting the Republican nomination in Milwaukee on July 18, five days after surviving an assassination attempt, Biden was in self-isolation back home.
Biden’s departure is the latest in a series of jarring developments that has made the 2024 presidential race the most chaotic in living memory. Trump easily won the Republican presidential nomination despite splitting his time between the campaign trail and various courtrooms where he was a defendant in criminal and civil cases. In May, a jury in Manhattan convicted him on 34 felony counts related to hush money payments to a porn star.
Then, in short order, Trump rebounded. The Supreme Court issued a much-anticipated ruling on July 1 that immunized Trump from official conduct when he was president, impeding special counsel Jack Smith’s efforts to prosecute Trump for interfering in the 2020 election.
Trump nearly died on July 13 as he appeared at a rally in Butler, Pennsylvania. A gunman lying on a roof 130 yards away fired a bullet that grazed his ear. Trump dropped to the ground in self-defense. Then, his face smeared with blood, he rose and defiantly pumped his fist, yelling “Fight!”
Another fortuitous development came two days later, coinciding with the opening of the Republican convention in Milwaukee that certified Trump’s nomination. Federal Judge Aileen Cannon in Florida dismissed a separate case brought by Smith alleging that Trump improperly retained classified documents that he took home with him when he left the White House in 2021. Cannon, who had been appointed by Trump, ruled that Smith’s appointment was illegal. Smith quickly appealed her ruling.
The rolling streak of news gave Trump a jolt of momentum, allowing Republicans to present an energized and unified front at this month’s convention. 
Biden seldom sparked any such enthusiasm. HIs primary campaign was mostly a coronation. He faced token opposition as party leaders cleared the field, betting that having beaten Trump once before, Biden was best positioned to do it again. But poll after poll confirmed that voters harbored doubts about him, believing he was too old and infirm to serve another term.
An AP-NORC survey released July 17 found that a whopping 65% of Democrats believed Biden should exit the race.
Pressed by his voters, abandoned by party leaders, Biden gave in.Peter Nicholas is a senior White House reporter for NBC News."
NBC_8,Xander Schauffele wins the British Open for his 2nd major this year,https://www.nbcnews.com/news/sports/xander-schauffele-wins-british-open-rcna162916,2024-07-22 02:00:02.831781,,"TROON, Scotland — Xander Schauffele won the British Open on Sunday for his second major of the year, delivering a masterpiece at Royal Troon with a 6-under 65 to overcome a two-shot deficit and give the Americans a sweep of the majors for the first time since 1982.
Schauffele won the PGA Championship at Valhalla two months ago by making a 6-foot birdie putt on the final hole. In a final round set up for big drama — nine players separated by three shots at the start — Schauffele made it look like a nice walk along the Irish Sea.
He played bogey-free in a strong, chilly wind and pulled away with three birdies in a four-hole stretch early on the back nine to go from two shots behind to leading by as many as three.
He won by two shots over American Billy Horschel and Justin Rose, the 43-year-old from England who had to go through 36-hole qualifying just to get into the field. They were among four players who had at least a share of the lead at one point Sunday.
They just couldn’t keep up with Schauffele. No one could.
Given the wind, heavy air off the Firth of Clyde and punishing nature of Royal Troon, Schauffele’s 65 ranks among the great closing rounds in British Open history. Playing in the third-to-last group, he matched the round of the championship with a score that was just over eight shots better than the field average.
The 30-year-old from San Diego became the first player since Jordan Spieth in 2015 to win his first two majors in the same season. And he extended American dominance on this Scottish links as the seventh Open champion in the last eight visits to Royal Troon.Rose closed with a 67 and it was only good for second place. Horschel, who started the final round with a one-shot lead in his bid to win his first major, dropped back around the turn and birdied his last three holes for a 68 for his best finish in a major.
The player Schauffele had to track down was Thriston Lawrence of South Africa, who birdied three of four holes to end the front nine with a 32.
Schauffele was two shots behind when it all changed so suddenly. Schauffele hit a wedge out of the left rough on the difficult 11th and judged it perfectly to 3 feet for birdie. He hit another wedge to 15 feet for birdie on the 13th, and capped his pivotal run with a 12-foot birdie putt on the par-3 14th.
Lawrence finally dropped a shot on the 12th and didn’t pick up any shots the rest of the day. He closed with a 68 and earned a small consolation — a trip to the Masters next April, his first time to Augusta National.
Scottie Scheffler, who got within one shot of the lead briefly on the front nine, lost his way with a three-putt from 6 feet for a double bogey on the ninth hole. Scheffler finished his round by topping a tee shot on the 18th and making another double bogey. The world’s No. 1 player closed with a 72 and tied for seventh.
Schauffele went from the heaviest major trophy at the PGA Championship to the smallest and oldest, the famed claret jug that he will keep for a year.
He finished at 9-under 275 and earned $3.1 million, pushing him over $15 million for the season.The Associated Press"
NBC_9,Some Republicans call on Biden to resign the presidency too after ending his 2024 campaign,https://www.nbcnews.com/politics/joe-biden/republicans-call-biden-resign-ending-2024-campaign-rcna162923,2024-07-22 03:45:03.108204,,"WASHINGTON — Some Republicans reacted immediately to President Joe Biden’s announcement that he won’t seek re-election in November by demanding that he resign the presidency as well.
“If Joe Biden is not fit to run for President, he is not fit to serve as President. He must resign the office immediately. November 5 cannot arrive soon enough,” House Speaker Mike Johnson, R-La., said in a statement shortly after Biden revealed his decision.
New York Rep. Elise Stefanik, the conference chair and fourth-ranking House Republican, added: “If Joe Biden can’t run for re-election, he is unable and unfit to serve as President of the United States. He must immediately resign.”
Follow for live updates
It was a widespread response within the Republican Party, with multiple others reacting similarly, including Rep. Pat Fallon, R-Texas:
Sen. Steve Daines, R-Mont., the chair of the Senate GOP campaign arm, said he is “formally calling on President Biden to resign from office ... out of concern for our country’s national security.”
“If Joe Biden is no longer capable of running for re-election, he is no longer capable of serving as President. Being President is the hardest job in the world, and I no longer have confidence that Joe Biden can effectively execute his duties as Commander-in-Chief,” Daines said in a statement.
Biden said in his Sunday statement that he will “stand down” from the presidential race and “focus solely on fulfilling my duties as President for the remainder of my term.” While many Democrats called on Biden to withdraw from the 2024 race, none have pushed for him to quit the presidency early. The skeptical Democrats have not taken issue with Biden’s ability to do the job, but rather with his declining communication skills and ability to wage a vigorous campaign leading into November after his poor debate performance.
Sen. Markwayne Mullin, R-Okla., proposed that Biden be forcibly removed from office through the 25th Amendment to the Constitution, which governs succession if a president cannot fulfill his duties.
“If Joe Biden is unfit to run for re-election, he is unfit to carry out his term,” Mullin said on X. “25th Amendment.”
Far-right Rep. Andy Biggs, R-Ariz., said: “How is he strong enough to continue serving as Commander in Chief of the strongest nation in the world? Joe Biden ought to step down.”
Senate Minority Leader Mitch McConnell, R-Ky., accused Democrats of contradicting the will of voters who chose Biden as their nominee in a statement, adding, ""We cannot afford four more years of failure.""
But McConnell, 82, a longtime friend of Biden's who is himself stepping down at the end of this term, did not join GOP calls for the president to resign before his term ends.
Some Republicans, including Johnson, slammed the Democratic Party for Biden’s decision to withdraw and endorse Vice President Kamala Harris to be the standard-bearer this fall.
“Having invalidated the votes of more than 14 million Americans who selected Joe Biden to be the Democrat nominee for president, the self-proclaimed ‘party of democracy’ has proven exactly the opposite,” Johnson said in his statement, seeking to undercut a major Democratic attack line against Donald Trump this campaign season — that the former president has worked to undermine U.S. democracy.
“The party’s prospects are no better now with Vice President Kamala Harris,” Johnson added.
Other Trump allies responded by saying Trump has been running against not just Biden, but an entire party and system.
“Presidents Trump has never just been running against Joe Biden. He’s been running against the destruction of America brought by Democrats and their policies,” Rep. Marjorie Taylor Greene, R-Ga., said on X, adding that Democrats waged “a coup” against Biden.
Vivek Ramaswamy, a former presidential contender and Trump supporter, said: “We’re not running against a candidate. We’re running against a system.”Sahil Kapur is a senior national political reporter for NBC News."
NBC_10,Read Biden’s letter to the nation stepping aside,https://www.nbcnews.com/politics/joe-biden/read-president-bidens-letter-x-withdrawing-2024-presidential-race-rcna162928,2024-07-22 03:00:03.108204,,"President Joe Biden announced Sunday in a letter to the nation posted on X that he had decided not to seek re-election, a move that followed mounting pressure from the Democratic Party for him to end his re-election bid after his disastrous debate performance last month."
